Packdatum;Filialen;Bereich;;;;;
2017-01-01;36;DPS;;;;;
2017-01-02;169;DPS;;;;;
2017-01-03;162;DPS;;;;;
2017-01-04;172;DPS;;;;;
2017-01-05;187;DPS;;;;;
2017-01-06;75;DPS;;;;;
2017-01-07;2;DPS;;;;;
2017-01-08;68;DPS;;;;;
2017-01-09;164;DPS;;;;;
2017-01-10;148;DPS;;;;;
2017-01-11;168;DPS;;;;;
2017-01-12;187;DPS;;;;;
2017-01-13;101;DPS;;;;;
2017-01-14;2;DPS;;;;;
2017-01-15;68;DPS;;;;;
2017-01-16;57;DPS;;;;;
2017-01-18;170;DPS;;;;;
2017-01-19;177;DPS;;;;;
2017-01-20;82;DPS;;;;;
2017-01-21;9;DPS;;;;;
2017-01-22;67;DPS;;;;;
2017-01-23;162;DPS;;;;;
2017-01-24;157;DPS;;;;;
2017-01-25;164;DPS;;;;;
2017-01-26;169;DPS;;;;;
2017-01-27;82;DPS;;;;;
2017-01-28;6;DPS;;;;;
2017-01-29;75;DPS;;;;;
2017-01-30;163;DPS;;;;;
2017-01-31;157;DPS;;;;;
2017-02-01;168;DPS;;;;;
2017-02-02;170;DPS;;;;;
2017-02-03;81;DPS;;;;;
2017-02-04;2;DPS;;;;;
2017-02-05;63;DPS;;;;;
2017-02-06;163;DPS;;;;;
2017-02-07;156;DPS;;;;;
2017-02-08;182;DPS;;;;;
2017-02-09;180;DPS;;;;;
2017-02-10;92;DPS;;;;;
2017-02-11;8;DPS;;;;;
2017-02-12;58;DPS;;;;;
2017-02-13;162;DPS;;;;;
2017-02-14;154;DPS;;;;;
2017-02-15;177;DPS;;;;;
2017-02-16;163;DPS;;;;;
2017-02-17;95;DPS;;;;;
2017-02-18;15;DPS;;;;;
2017-02-19;30;DPS;;;;;
2017-02-20;71;DPS;;;;;
2017-02-21;160;DPS;;;;;
2017-02-22;176;DPS;;;;;
2017-02-23;161;DPS;;;;;
2017-02-24;92;DPS;;;;;
2017-02-26;61;DPS;;;;;
2017-02-27;163;DPS;;;;;
2017-02-28;62;DPS;;;;;
2017-03-01;169;DPS;;;;;
2017-03-02;171;DPS;;;;;
2017-03-03;41;DPS;;;;;
2017-03-04;2;DPS;;;;;
2017-03-05;26;DPS;;;;;
2017-03-06;166;DPS;;;;;
2017-03-07;178;DPS;;;;;
