Datum;Lager;TE;;;
2017-01-02;DPS;172;;;
2017-01-03;DPS;126;;;
2017-01-04;DPS;82;;;
2017-01-05;DPS;81;;;
2017-01-06;DPS;179;;;
2017-01-09;DPS;164;;;
2017-01-10;DPS;228;;;
2017-01-11;DPS;134;;;
2017-01-12;DPS;228;;;
2017-01-13;DPS;56;;;
2017-01-16;DPS;59;;;
2017-01-17;DPS;124;;;
2017-01-18;DPS;46;;;
2017-01-19;DPS;160;;;
2017-01-20;DPS;80;;;
2017-01-23;DPS;134;;;
2017-01-24;DPS;251;;;
2017-01-25;DPS;90;;;
2017-01-26;DPS;157;;;
2017-01-27;DPS;115;;;
2017-01-30;DPS;71;;;
2017-01-31;DPS;138;;;
2017-02-01;DPS;309;;;
2017-02-02;DPS;127;;;
2017-02-03;DPS;105;;;
2017-02-06;DPS;69;;;
2017-02-07;DPS;232;;;
2017-02-08;DPS;87;;;
2017-02-09;DPS;128;;;
2017-02-10;DPS;153;;;
2017-02-13;DPS;114;;;
2017-02-14;DPS;142;;;
2017-02-15;DPS;63;;;
2017-02-16;DPS;96;;;
2017-02-17;DPS;204;;;
2017-02-20;DPS;30;;;
2017-02-21;DPS;314;;;
2017-02-22;DPS;157;;;
2017-02-23;DPS;179;;;
2017-02-24;DPS;99;;;
2017-02-25;DPS;54;;;
2017-02-27;DPS;46;;;
2017-02-28;DPS;192;;;
2017-03-01;DPS;67;;;
2017-03-02;DPS;181;;;
2017-03-03;DPS;345;;;
2017-03-04;DPS;4;;;
2017-03-06;DPS;66;;;
2017-03-07;DPS;238;;;
2017-03-08;DPS;96;;;
2017-03-09;DPS;51;;;
2017-03-10;DPS;337;;;
2017-03-11;DPS;61;;;
2017-03-13;DPS;54;;;
2017-03-14;DPS;162;;;
2017-03-15;DPS;138;;;
2017-03-16;DPS;52;;;
2017-03-17;DPS;312;;;
2017-03-18;DPS;274;;;
2017-03-20;DPS;92;;;
2017-03-21;DPS;192;;;
2017-03-22;DPS;138;;;
2017-03-23;DPS;164;;;
2017-03-24;DPS;507;;;
2017-03-25;DPS;79;;;
2017-03-27;DPS;54;;;
2017-03-28;DPS;339;;;
2017-03-29;DPS;80;;;
2017-03-30;DPS;228;;;
2017-03-31;DPS;457;;;
2017-04-01;DPS;21;;;
2017-04-03;DPS;169;;;
2017-04-04;DPS;292;;;
2017-04-05;DPS;442;;;
2017-04-06;DPS;70;;;
2017-04-07;DPS;467;;;
2017-04-08;DPS;41;;;
2017-04-10;DPS;113;;;
2017-04-11;DPS;352;;;
2017-04-12;DPS;98;;;
2017-04-13;DPS;465;;;
2017-04-15;DPS;114;;;
2017-04-18;DPS;226;;;
2017-04-19;DPS;180;;;
2017-04-20;DPS;35;;;
2017-04-21;DPS;599;;;
2017-04-22;DPS;93;;;
2017-04-24;DPS;73;;;
2017-04-25;DPS;516;;;
2017-04-26;DPS;282;;;
2017-04-27;DPS;64;;;
2017-04-28;DPS;641;;;
2017-04-29;DPS;81;;;
2017-05-02;DPS;233;;;
2017-05-03;DPS;160;;;
2017-05-04;DPS;232;;;
2017-05-05;DPS;361;;;
2017-05-08;DPS;173;;;
2017-05-09;DPS;341;;;
2017-05-10;DPS;209;;;
2017-05-11;DPS;88;;;
2017-05-12;DPS;410;;;
2017-05-15;DPS;275;;;
2017-05-16;DPS;350;;;
2017-05-17;DPS;169;;;
2017-05-18;DPS;244;;;
2017-05-19;DPS;557;;;
2017-05-22;DPS;169;;;
2017-05-23;DPS;593;;;
2017-05-24;DPS;233;;;
2017-05-26;DPS;539;;;
2017-05-27;DPS;206;;;
2017-05-29;DPS;51;;;
2017-05-30;DPS;346;;;
2017-05-31;DPS;481;;;
2017-06-01;DPS;106;;;
2017-06-02;DPS;377;;;
2017-06-06;DPS;265;;;
2017-06-07;DPS;204;;;
2017-06-08;DPS;71;;;
2017-06-09;DPS;260;;;
2017-06-12;DPS;74;;;
2017-06-13;DPS;282;;;
2017-06-14;DPS;287;;;
2017-06-15;DPS;86;;;
2017-06-16;DPS;362;;;
2017-06-19;DPS;95;;;
2017-06-20;DPS;368;;;
2017-06-21;DPS;218;;;
2017-06-22;DPS;162;;;
2017-06-23;DPS;281;;;
2017-06-26;DPS;175;;;
2017-06-27;DPS;222;;;
2017-06-28;DPS;154;;;
2017-06-29;DPS;45;;;
2017-06-30;DPS;486;;;
2017-07-03;DPS;119;;;
2017-07-04;DPS;315;;;
2017-07-05;DPS;244;;;
2017-07-06;DPS;163;;;
2017-07-07;DPS;656;;;
2017-07-10;DPS;60;;;
2017-07-11;DPS;372;;;
2017-07-12;DPS;29;;;
2017-07-13;DPS;106;;;
2017-07-14;DPS;700;;;
2017-07-17;DPS;89;;;
2017-07-18;DPS;596;;;
