Datum;Lager;Auftrag_Stück;Abschreibung_Stück;Anteil_in_Prozent
2017-01-02;ALL_GES;497567;107;0.02
2017-01-02;DPS;293095;82;0.03
2017-01-02;INSERT;22927;4;0.02
2017-01-02;MAN;75772;21;0.03
2017-01-02;MPS;107600;0;0.00
2017-01-02;WAN;122;0;0.00
2017-01-03;ALL_GES;375720;12;0.00
2017-01-03;DPS;195208;0;0.00
2017-01-03;INSERT;22783;0;0.00
2017-01-03;MAN;63946;0;0.00
2017-01-03;MPS;94849;12;0.01
2017-01-03;WAN;98;0;0.00
2017-01-04;ALL_GES;386023;69;0.02
2017-01-04;DPS;216745;42;0.02
2017-01-04;INSERT;15558;3;0.02
2017-01-04;MAN;59454;24;0.04
2017-01-04;MPS;95339;0;0.00
2017-01-04;WAN;82;0;0.00
2017-01-05;ALL_GES;534658;212;0.04
2017-01-05;DPS;280260;60;0.02
2017-01-05;INSERT;15542;14;0.09
2017-01-05;MAN;90423;135;0.15
2017-01-05;MPS;150753;3;0.00
2017-01-05;WAN;24;0;0.00
2017-01-06;ALL_GES;457754;87;0.02
2017-01-06;DPS;247043;57;0.02
2017-01-06;INSERT;16774;24;0.14
2017-01-06;MAN;83507;6;0.01
2017-01-06;MPS;112191;0;0.00
2017-01-06;WAN;12;0;0.00
2017-01-07;ALL_GES;325741;18;0.01
2017-01-07;DPS;185787;12;0.01
2017-01-07;INSERT;11195;0;0.00
2017-01-07;MAN;52519;6;0.01
2017-01-07;MPS;77608;0;0.00
2017-01-07;WAN;12;0;0.00
2017-01-09;ALL_GES;694364;102;0.01
2017-01-09;DPS;389720;80;0.02
2017-01-09;INSERT;15627;8;0.05
2017-01-09;MAN;134185;8;0.01
2017-01-09;MPS;157666;6;0.00
2017-01-09;WAN;36;0;0.00
2017-01-10;ALL_GES;527034;42;0.01
2017-01-10;DPS;302833;33;0.01
2017-01-10;INSERT;14353;0;0.00
2017-01-10;MAN;91039;9;0.01
2017-01-10;MPS;120340;0;0.00
2017-01-10;WAN;12;0;0.00
2017-01-11;ALL_GES;540455;30;0.01
2017-01-11;DPS;320106;26;0.01
2017-01-11;INSERT;15119;3;0.02
2017-01-11;MAN;82674;0;0.00
2017-01-11;MPS;124539;1;0.00
2017-01-12;ALL_GES;585533;54;0.01
2017-01-12;DPS;336480;30;0.01
2017-01-12;INSERT;14587;3;0.02
2017-01-12;MAN;99310;19;0.02
2017-01-12;MPS;137410;2;0.00
2017-01-12;WAN;116;0;0.00
2017-01-13;ALL_GES;484700;170;0.04
2017-01-13;DPS;277339;79;0.03
2017-01-13;INSERT;15965;7;0.04
2017-01-13;MAN;82573;84;0.10
2017-01-13;MPS;110995;0;0.00
2017-01-13;WAN;13;0;0.00
2017-01-14;ALL_GES;337839;36;0.01
2017-01-14;DPS;193311;60;0.03
2017-01-14;INSERT;9164;0;0.00
2017-01-14;MAN;59515;0;0.00
2017-01-14;MPS;77237;0;0.00
2017-01-14;WAN;127;0;0.00
2017-01-16;ALL_GES;682079;250;0.04
2017-01-16;DPS;385649;228;0.06
2017-01-16;INSERT;18832;0;0.00
2017-01-16;MAN;128496;22;0.02
2017-01-16;MPS;152204;0;0.00
2017-01-16;WAN;152;0;0.00
2017-01-17;ALL_GES;473558;20;0.00
2017-01-17;DPS;264999;9;0.00
