Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-01-02;83685;82045;1640;0;DPS
2015-01-02;9453;9309;144;0;MAN
2015-01-02;20206;20059;147;0;MPS
2015-01-03;83810;82211;1599;0;DPS
2015-01-03;10280;10271;9;0;MAN
2015-01-03;22182;22150;32;0;MPS
2015-01-05;74101;72968;1133;0;DPS
2015-01-05;8970;8934;36;0;MAN
2015-01-05;18320;18319;0;1;MPS
2015-01-06;56912;55420;1492;0;DPS
2015-01-06;7992;7963;29;0;MAN
2015-01-06;17711;17711;0;0;MPS
2015-01-07;58630;57006;1624;0;DPS
2015-01-07;8243;8234;9;0;MAN
2015-01-07;19033;19033;0;0;MPS
2015-01-08;72051;68311;3740;0;DPS
2015-01-08;9608;9543;65;0;MAN
2015-01-08;21822;21822;0;0;MPS
2015-01-09;58041;56824;1217;0;DPS
2015-01-09;7937;7583;354;0;MAN
2015-01-09;18704;15882;2822;0;MPS
2015-01-10;21672;21248;424;0;DPS
2015-01-10;4414;2372;2042;0;MAN
2015-01-10;8065;5244;2821;0;MPS
2015-01-12;73898;72765;1133;0;DPS
2015-01-12;8613;8607;6;0;MAN
2015-01-12;18345;18344;0;1;MPS
2015-01-13;53459;52345;1114;0;DPS
2015-01-13;7634;7627;7;0;MAN
2015-01-13;14948;14948;0;0;MPS
2015-01-14;52110;50914;1196;0;DPS
2015-01-14;6402;6354;48;0;MAN
2015-01-14;14412;13979;433;0;MPS
2015-01-15;62454;60623;1831;0;DPS
2015-01-15;7997;7992;5;0;MAN
2015-01-15;19861;19845;16;0;MPS
2015-01-16;55834;54984;850;0;DPS
2015-01-16;7128;7125;3;0;MAN
2015-01-16;15329;15329;0;0;MPS
2015-01-17;24656;24309;347;0;DPS
2015-01-17;2976;2952;24;0;MAN
2015-01-17;5500;5424;76;0;MPS
2015-01-19;84728;83523;1205;0;DPS
2015-01-19;11737;11694;43;0;MAN
2015-01-19;20330;20329;1;0;MPS
2015-01-20;58344;56842;1502;0;DPS
2015-01-20;7904;7877;27;0;MAN
2015-01-20;14794;14794;0;0;MPS
2015-01-21;54343;52470;1873;0;DPS
2015-01-21;7652;7647;5;0;MAN
2015-01-21;12588;12468;120;0;MPS
2015-01-22;65395;63267;2128;0;DPS
2015-01-22;10194;9688;506;0;MAN
2015-01-22;19007;17500;1506;1;MPS
2015-01-23;55526;54137;1389;0;DPS
2015-01-23;11210;7805;3405;0;MAN
2015-01-23;15533;14155;1377;1;MPS
2015-01-24;23736;23368;368;0;DPS
2015-01-24;3326;3323;3;0;MAN
2015-01-24;5306;5306;0;0;MPS
2015-01-26;88342;86547;1795;0;DPS
2015-01-26;13664;13428;236;0;MAN
2015-01-26;21662;20474;1186;2;MPS
2015-01-27;52434;51300;1134;0;DPS
2015-01-27;8360;8355;5;0;MAN
2015-01-27;13751;13751;0;0;MPS
2015-01-28;56326;54271;2055;0;DPS
2015-01-28;10929;10917;12;0;MAN
2015-01-28;15249;14277;972;0;MPS
2015-01-29;63743;60092;3651;0;DPS
2015-01-29;9207;9136;71;0;MAN
2015-01-29;18459;18459;0;0;MPS
2015-01-30;53519;52369;1150;0;DPS
2015-01-30;7835;7827;8;0;MAN
2015-01-30;15221;15190;31;0;MPS
2015-01-31;28822;28377;445;0;DPS
2015-01-31;3459;3454;5;0;MAN
2015-01-31;6287;6287;0;0;MPS
2015-02-02;93141;91675;1466;0;DPS
2015-02-02;14768;13389;1379;0;MAN
2015-02-02;23033;21996;1037;0;MPS
