Datum;Bereich;Belegt;Frei;Fehler;Gesperrt;Gesamt;;;;
2017-02-03;DPS;43893;14093;8;274;57341;;;;
2017-02-04;DPS;43204;14789;0;267;57340;;;;
2017-02-05;DPS;42707;15314;0;259;57396;;;;
2017-02-06;DPS;42298;15692;4;269;57348;;;;
2017-02-07;DPS;41725;16263;4;273;57341;;;;
2017-02-08;DPS;42067;15933;4;274;57365;;;;
2017-02-09;DPS;42047;15922;8;270;57311;;;;
2017-02-10;DPS;42337;15614;14;282;57287;;;;
2017-02-11;DPS;42811;15160;2;262;57301;;;;
2017-02-12;DPS;42157;15834;6;273;57349;;;;
2017-02-13;DPS;41837;16122;8;272;57293;;;;
2017-02-14;DPS;42832;15132;18;278;57319;;;;
2017-02-15;DPS;43380;14586;18;280;57325;;;;
2017-02-16;DPS;43118;14834;6;275;57271;;;;
2017-02-17;DPS;43711;14240;20;290;57300;;;;
2017-02-18;DPS;42326;15639;4;264;57293;;;;
2017-02-19;DPS;41736;16234;0;268;57295;;;;
2017-02-20;DPS;41886;16075;8;271;57296;;;;
2017-02-21;DPS;41065;16894;16;285;57305;;;;
2017-02-22;DPS;41357;16611;6;268;57305;;;;
2017-02-23;DPS;41812;16156;16;283;57323;;;;
2017-02-24;DPS;43968;14017;6;267;57338;;;;
2017-02-25;DPS;43026;14938;12;272;57305;;;;
2017-02-26;DPS;41986;16005;0;260;57337;;;;
2017-02-27;DPS;41603;16355;6;273;57283;;;;
2017-02-28;DPS;41798;16180;18;288;57350;;;;
2017-03-01;DPS;42326;15639;4;264;57293;;;;
2017-03-02;DPS;43304;14666;16;280;57327;;;;
2017-03-03;DPS;43332;14654;0;286;57345;;;;
2017-03-04;DPS;43170;14811;10;279;57334;;;;
2017-03-05;DPS;41829;16158;4;272;57337;;;;
2017-03-06;DPS;42202;15796;6;267;57364;;;;
2017-03-07;DPS;40922;17060;14;286;57351;;;;
2017-03-08;DPS;41304;16702;12;283;57392;;;;
2017-03-09;DPS;41826;16185;18;291;57418;;;;
2017-03-10;DPS;40799;17186;18;287;57366;;;;
2017-03-11;DPS;40416;17598;4;266;57393;;;;
2017-03-12;DPS;39749;18271;4;268;57402;;;;
